"","budget","popularity","revenue","runtime","vote_average","vote_count","genre_1","genre_2","release_month"
"11",2.7e+08,57.925623,391081192,154,5.4,1400,"Adventure","Fantasy","6"
"16",2.25e+08,53.978602,419651413,150,6.3,1630,"Adventure","Family","5"
"22",2e+08,37.668301,310669540,140,6.2,1398,"Action","Adventure","5"
"24",1.8e+08,42.990906,372234864,113,5.8,1303,"Adventure","Fantasy","12"
"55",1.75e+08,51.692953,331926147,93,6.6,1736,"Adventure","Animation","11"
"59",1.4e+08,22.57178,258022233,91,6.1,783,"Action","Comedy","8"
"61",2e+08,39.744242,325233863,96,6.6,1095,"Animation","Drama","11"
"68",1.75e+08,36.167578,381509870,94,6,1423,"Animation","Family","3"
"71",1.7e+08,40.748915,222104681,106,5.1,1020,"Action","Adventure","6"
"72",1.45e+08,60.034162,401128639,112,5.2,1387,"Adventure","Action","7"
"74",1.75e+08,27.082182,1.73e+08,96,5.3,1151,"Fantasy","Comedy","6"
"76",1.75e+08,44.640292,264218220,135,5.9,992,"Adventure","Action","7"
"84",2.7e+07,2.418535,NA,109,4.8,34,"Action","Adventure","2"
"85",1.75e+08,41.796339,150962475,119,5.9,1326,"Drama","Action","12"
"91",1.65e+08,47.323228,305875730,100,6.4,1474,"Adventure","Animation","11"
"98",1.5e+07,9.476999,7.7e+07,120,6.5,143,"Action","Adventure","7"
"104",1.5e+08,35.580815,215283742,109,5.8,1470,"Fantasy","Adventure","7"
"105",1.6e+08,21.133748,181674817,99,5.5,583,"Adventure","Action","5"
"106",1.7e+08,56.268916,299370084,113,6.5,1725,"Fantasy","NA","5"
"110",1.55e+08,49.661984,415686217,113,6.2,1514,"Adventure","Family","8"
"113",1.55e+08,39.019229,167298192,175,5.6,927,"War","History","11"
"131",1.5e+08,41.845878,309979994,98,6.3,1750,"Animation","Family","11"
"132",1.5e+08,26.710398,292817841,88,5.1,510,"Fantasy","Action","7"
"133",1.5e+08,44.927635,3.01e+08,99,5.5,1431,"Adventure","NA","3"
"136",1.5e+08,21.214571,NA,102,5.5,549,"Drama","Horror","2"
"137",1.5e+08,29.332905,287594577,91,5.7,1171,"Family","Animation","10"
"139",1.5e+08,33.769336,318502923,103,4.7,1151,"Action","Adventure","6"
"142",1.5e+08,12.362599,38992758,88,5.5,199,"Adventure","Animation","3"
"143",1.49e+08,22.550135,64459316,85,6,874,"Adventure","Animation","10"
"144",1.5e+08,48.03528,128388320,111,5.9,954,"Adventure","Family","9"
"145",1.45e+08,38.73494,272912430,92,6.7,843,"Animation","Adventure","2"
"148",1.4e+08,54.159392,431971116,133,5.8,1092,"Adventure","Action","11"
"152",7e+07,35.601665,195735876,115,5.5,841,"Adventure","Action","11"
"153",1.45e+08,56.747978,521170825,95,6.7,1603,"Action","Adventure","1"
"156",1e+08,25.159168,202026112,90,5.9,627,"Comedy","NA","12"
"162",1.4e+08,56.257249,150680864,127,5.3,1277,"Fantasy","NA","2"
"163",1.35e+08,17.88953,76932943,121,4.9,331,"Action","NA","7"
"165",1.4e+08,24.855701,285444603,127,6.3,767,"Action","Adventure","7"
"166",1.37e+08,34.981698,245360480,138,5.3,1533,"Drama","Action","6"
"168",1.3e+08,21.605568,119269486,124,5.7,434,"Action","Adventure","4"
"169",1.37e+08,26.074908,85131830,106,5.9,433,"Adventure","Action","7"
"171",1.35e+08,39.604363,361832400,128,6,862,"Adventure","Action","11"
"172",1.5e+08,36.973031,212011111,138,6.9,790,"Adventure","NA","11"
"174",1.3e+08,17.7735,150406466,100,5.8,373,"Animation","Comedy","11"
"176",1.4e+08,44.19092,183345589,120,6,1000,"Adventure","Family","6"
"178",1.35e+08,44.765377,282570682,96,6.1,1074,"Animation","Family","7"
"185",1.35e+08,63.473086,368871007,94,6.8,1519,"Fantasy","Comedy","3"
"187",1.3e+08,38.068736,273339556,147,6.3,1564,"Adventure","Action","7"
"188",1.3e+08,20.678787,554987477,90,6.4,451,"Action","Adventure","10"
"193",1.3e+08,28.840997,49554002,165,6.3,694,"Drama","NA","11"
"195",127500000,26.548594,354248063,82,6.2,542,"Animation","Family","5"
"199",1.3e+08,39.448066,61648500,96,5.4,1260,"Fantasy","Action","7"
"203",1.03e+08,42.40024,500188435,102,6.3,978,"Animation","Adventure","3"
"208",6.5e+07,43.129703,261317921,113,7.1,1710,"Action","Adventure","6"
"209",1.6e+08,27.220157,61698899,102,6.4,510,"Adventure","Fantasy","8"
"211",1.25e+08,50.073575,238207122,125,4.2,1418,"Action","Crime","6"
"212",1.23e+08,45.419668,345141403,104,6.2,1386,"Family","Comedy","11"
"215",1.2e+08,25.752118,325756637,130,6.2,597,"Drama","NA","3"
"218",1.1e+08,46.834704,228738393,114,5.2,1712,"Thriller","Action","2"
