"","budget","id","original_language","popularity","revenue","runtime","status","title","vote_average","vote_count","genre_1","genre_2","prodcomp_1","prodcount_1","release_year","release_month"
"1",2.7e+08,1452,"en",57.925623,391081192,154,"Released","Superman Returns",5.4,1400,"Adventure","Fantasy","DC Comics","United States of America",2006,"06"
"2",2.25e+08,2454,"en",53.978602,419651413,150,"Released","The Chronicles of Narnia: Prince Caspian",6.3,1630,"Adventure","Family","Walt Disney","Czech Republic",2008,"05"
"3",2e+08,20662,"en",37.668301,310669540,140,"Released","Robin Hood",6.2,1398,"Action","Adventure","Imagine Entertainment","United Kingdom",2010,"05"
"4",1.8e+08,2268,"en",42.990906,372234864,113,"Released","The Golden Compass",5.8,1303,"Adventure","Fantasy","New Line Cinema","United Kingdom",2007,"12"
"5",1.75e+08,105864,"en",51.692953,331926147,93,"Released","The Good Dinosaur",6.6,1736,"Adventure","Animation","Walt Disney Pictures","United States of America",2015,"11"
"6",1.4e+08,5174,"en",22.57178,258022233,91,"Released","Rush Hour 3",6.1,783,"Action","Comedy","New Line Cinema","United States of America",2007,"08"
"7",2e+08,17979,"en",39.744242,325233863,96,"Released","A Christmas Carol",6.6,1095,"Animation","Drama","Walt Disney","United States of America",2009,"11"
"8",1.75e+08,15512,"en",36.167578,381509870,94,"Released","Monsters vs Aliens",6,1423,"Animation","Family","DreamWorks Animation","United States of America",2009,"03"
"9",1.7e+08,8487,"en",40.748915,222104681,106,"Released","Wild Wild West",5.1,1020,"Action","Adventure","Todman, Simon, LeMasters Productions","United States of America",1999,"06"
"10",1.45e+08,1735,"en",60.034162,401128639,112,"Released","The Mummy: Tomb of the Dragon Emperor",5.2,1387,"Adventure","Action","Universal Pictures","Germany",2008,"07"
"11",1.75e+08,2698,"en",27.082182,1.73e+08,96,"Released","Evan Almighty",5.3,1151,"Fantasy","Comedy","Columbia Pictures","United States of America",2007,"06"
"12",1.75e+08,9804,"en",44.640292,264218220,135,"Released","Waterworld",5.9,992,"Adventure","Action","Universal Pictures","United States of America",1995,"07"
"13",2.7e+07,79698,"en",2.418535,NA,109,"Released","The Lovers",4.8,34,"Action","Adventure","Corsan","Australia",2015,"02"
"14",1.75e+08,64686,"en",41.796339,150962475,119,"Released","47 Ronin",5.9,1326,"Drama","Action","Mid Atlantic Films","United States of America",2013,"12"
"15",1.65e+08,5255,"en",47.323228,305875730,100,"Released","The Polar Express",6.4,1474,"Adventure","Animation","Golden Mean","United States of America",2004,"11"
"16",1.5e+07,315011,"ja",9.476999,7.7e+07,120,"Released","Shin Godzilla",6.5,143,"Action","Adventure","Cine Bazar","Japan",2016,"07"
"17",1.5e+08,27022,"en",35.580815,215283742,109,"Released","The Sorcerer's Apprentice",5.8,1470,"Fantasy","Adventure","Walt Disney Pictures","United States of America",2010,"07"
"18",1.6e+08,503,"en",21.133748,181674817,99,"Released","Poseidon",5.5,583,"Adventure","Action","Virtual Studios","United States of America",2006,"05"
"19",1.7e+08,241259,"en",56.268916,299370084,113,"Released","Alice Through the Looking Glass",6.5,1725,"Fantasy",NA,"Walt Disney Pictures","United Kingdom",2016,"05"
"20",1.55e+08,10140,"en",49.661984,415686217,113,"Released","The Chronicles of Narnia: The Voyage of the Dawn Treader",6.2,1514,"Adventure","Family","Dune Entertainment","United States of America",2010,"08"
"21",1.55e+08,1966,"en",39.019229,167298192,175,"Released","Alexander",5.6,927,"War","History","France 3 Cinéma","France",2004,"11"
"22",1.5e+08,13053,"en",41.845878,309979994,98,"Released","Bolt",6.3,1750,"Animation","Family","Walt Disney Animation Studios","United States of America",2008,"11"
"23",1.5e+08,19585,"en",26.710398,292817841,88,"Released","G-Force",5.1,510,"Fantasy","Action","Walt Disney Pictures","United States of America",2009,"07"
"24",1.5e+08,57165,"en",44.927635,3.01e+08,99,"Released","Wrath of the Titans",5.5,1431,"Adventure",NA,"Legendary Pictures","Spain",2012,"03"
"25",1.5e+08,7978,"en",21.214571,NA,102,"Released","The Wolfman",5.5,549,"Drama","Horror","Universal Pictures","United States of America",2010,"02"
"26",1.5e+08,5559,"en",29.332905,287594577,91,"Released","Bee Movie",5.7,1171,"Family","Animation","Pacific Data Images (PDI)","United States of America",2007,"10"
"27",1.5e+08,10196,"en",33.769336,318502923,103,"Released","The Last Airbender",4.7,1151,"Action","Adventure","Paramount Pictures","United States of America",2010,"06"
"28",1.5e+08,50321,"en",12.362599,38992758,88,"Released","Mars Needs Moms",5.5,199,"Adventure","Animation","Walt Disney Animation Studios","United States of America",2011,"03"
"29",1.49e+08,11619,"en",22.550135,64459316,85,"Released","Flushed Away",6,874,"Adventure","Animation","Aardman Animations","United Kingdom",2006,"10"
"30",1.5e+08,266647,"en",48.03528,128388320,111,"Released","Pan",5.9,954,"Adventure","Family","Warner Bros.","United States of America",2015,"09"
"31",1.45e+08,82703,"en",38.73494,272912430,92,"Released","Mr. Peabody & Sherman",6.7,843,"Animation","Adventure","Pacific Data Images (PDI)","United States of America",2014,"02"
"32",1.4e+08,36669,"en",54.159392,431971116,133,"Released","Die Another Day",5.8,1092,"Adventure","Action","Eon Productions","United Kingdom",2002,"11"
"33",7e+07,2310,"en",35.601665,195735876,115,"Released","Beowulf",5.5,841,"Adventure","Action","Paramount Pictures","United States of America",2007,"11"
"34",1.45e+08,140300,"en",56.747978,521170825,95,"Released","Kung Fu Panda 3",6.7,1603,"Action","Adventure","Twentieth Century Fox Film Corporation","China",2016,"01"
"35",1e+08,7552,"en",25.159168,202026112,90,"Released","Fun with Dick and Jane",5.9,627,"Comedy",NA,"Imagine Entertainment","United States of America",2005,"12"
"36",1.4e+08,205584,"en",56.257249,150680864,127,"Released","Gods of Egypt",5.3,1277,"Fantasy",NA,"Summit Entertainment","Australia",2016,"02"
"37",1.35e+08,10048,"en",17.88953,76932943,121,"Released","Stealth",4.9,331,"Action",NA,"Laura Ziskin Productions","United States of America",2005,"07"
"38",1.4e+08,944,"en",24.855701,285444603,127,"Released","Lethal Weapon 4",6.3,767,"Action","Adventure","Silver Pictures","United States of America",1998,"07"
"39",1.37e+08,1927,"en",34.981698,245360480,138,"Released","Hulk",5.3,1533,"Drama","Action","Universal Pictures","United States of America",2003,"06"
"40",1.3e+08,7364,"en",21.605568,119269486,124,"Released","Sahara",5.7,434,"Action","Adventure","Paramount Pictures","Germany",2005,"04"
"41",1.37e+08,2114,"en",26.074908,85131830,106,"Released","Final Fantasy: The Spirits Within",5.9,433,"Adventure","Action","Columbia Pictures","Japan",2001,"07"
"42",1.35e+08,36643,"en",39.604363,361832400,128,"Released","The World Is Not Enough",6,862,"Adventure","Action","Eon Productions","United Kingdom",1999,"11"
"43",1.5e+08,8619,"en",36.973031,212011111,138,"Released","Master and Commander: The Far Side of the World",6.9,790,"Adventure",NA,"Universal Pictures","United States of America",2003,"11"
"44",1.3e+08,65759,"en",17.7735,150406466,100,"Released","Happy Feet Two",5.8,373,"Animation","Comedy","Village Roadshow Pictures","Australia",2011,"11"
"45",1.4e+08,267935,"en",44.19092,183345589,120,"Released","The BFG",6,1000,"Adventure","Family","Walt Disney Pictures","India",2016,"06"
"46",1.35e+08,77950,"en",44.765377,282570682,96,"Released","Turbo",6.1,1074,"Animation","Family","DreamWorks Animation","United States of America",2013,"07"
"47",1.35e+08,228161,"en",63.473086,368871007,94,"Released","Home",6.8,1519,"Fantasy","Comedy","Twentieth Century Fox Film Corporation","United States of America",2015,"03"
"48",1.3e+08,8961,"en",38.068736,273339556,147,"Released","Bad Boys II",6.3,1564,"Adventure","Action","Columbia Pictures Corporation","United States of America",2003,"07"
"49",1.3e+08,417859,"en",20.678787,554987477,90,"Released","Puss in Boots",6.4,451,"Action","Adventure","DreamWorks","United States of America",2011,"10"
"50",1.3e+08,6972,"en",28.840997,49554002,165,"Released","Australia",6.3,694,"Drama",NA,"Bazmark Films","Australia",2008,"11"
"51",127500000,10567,"en",26.548594,354248063,82,"Released","Dinosaur",6.2,542,"Animation","Family","Walt Disney Pictures","United States of America",2000,"05"
"52",1.3e+08,49524,"en",39.448066,61648500,96,"Released","R.I.P.D.",5.4,1260,"Fantasy","Action","Universal Pictures","United States of America",2013,"07"
"53",1.03e+08,172385,"en",42.40024,500188435,102,"Released","Rio 2",6.3,978,"Animation","Adventure","Blue Sky Studios","United States of America",2014,"03"
"54",6.5e+07,861,"en",43.129703,261317921,113,"Released","Total Recall",7.1,1710,"Action","Adventure","TriStar Pictures","United States of America",1990,"06"
"55",1.6e+08,1911,"en",27.220157,61698899,102,"Released","The 13th Warrior",6.4,510,"Adventure","Fantasy","Touchstone Pictures","United States of America",1999,"08"
"56",1.25e+08,415,"en",50.073575,238207122,125,"Released","Batman & Robin",4.2,1418,"Action","Crime","PolyGram Filmed Entertainment","United Kingdom",1997,"06"
"57",1.23e+08,8871,"en",45.419668,345141403,104,"Released","How the Grinch Stole Christmas",6.2,1386,"Family","Comedy","Imagine Entertainment","Germany",2000,"11"
"58",1.2e+08,2133,"en",25.752118,325756637,130,"Released","The Perfect Storm",6.2,597,"Drama",NA,"Warner Bros.","United States of America",2000,"03"
"59",1.1e+08,1250,"en",46.834704,228738393,114,"Released","Ghost Rider",5.2,1712,"Thriller","Action","Columbia Pictures Corporation","United States of America",2007,"02"
"60",1.2e+08,9471,"en",33.616115,259175788,106,"Released","Charlie's Angels: Full Throttle",5.2,914,"Action","Adventure","Columbia Pictures","United States of America",2003,"06"
"61",1.2e+08,10996,"en",27.990284,169956806,78,"Released","Stuart Little 2",5.4,613,"Family","Adventure","Columbia Pictures","United States of America",2002,"07"
"62",1.05e+08,2789,"en",27.835436,115772733,119,"Released","The Chronicles of Riddick",6.3,1570,"Action","Science Fiction","One Race Films","United States of America",2004,"06"
"63",1.2e+08,7459,"en",17.060695,93945766,135,"Released","Speed Racer",5.7,354,"Action","Family","Village Roadshow Pictures","Australia",2008,"05"
"64",1.2e+08,42888,"en",11.137655,48668907,121,"Released","How Do You Know",4.9,223,"Comedy","Drama","Columbia Pictures","United States of America",2010,"12"
"65",1.17e+08,37834,"en",44.906918,261930431,109,"Released","Knight and Day",5.9,1547,"Action","Comedy","Tree Line Films","United States of America",2010,"06"
"66",97250400,2395,"fr",20.344364,132900000,116,"Released","Asterix at the Olympic Games",5,471,"Fantasy","Adventure","Constantin Film","Belgium",2008,"01"
"67",1.15e+08,12100,"en",18.714197,77628265,134,"Released","Windtalkers",5.8,341,"Drama","Action","Lion Rock Productions","United States of America",2002,"06"
"68",1.15e+08,290595,"en",60.467984,164602163,114,"Released","The Huntsman: Winter's War",6,1523,"Action","Adventure","Universal Pictures","United States of America",2016,"04"
"69",1.16e+08,9619,"en",16.90444,178127760,108,"Released","Dante's Peak",5.7,428,"Action","Adventure","Universal Pictures","United States of America",1997,"02"
"70",1.35e+08,308531,"en",39.873791,245623848,112,"Released","Teenage Mutant Ninja Turtles: Out of the Shadows",5.8,963,"Fantasy","Action","Paramount Pictures","China",2016,"06"
"71",1.1e+08,714,"en",42.887121,333011068,119,"Released","Tomorrow Never Dies",6,925,"Adventure","Action","Eon Productions","United Kingdom",1997,"12"
"72",1.1e+08,2024,"en",23.657284,215294342,165,"Released","The Patriot",6.8,1099,"Drama","History","Centropolis Entertainment","Germany",2000,"06"
"73",1.16e+08,2567,"en",45.616098,1.02e+08,170,"Released","The Aviator",7,1489,"Drama",NA,"Miramax Films","United States of America",2004,"12"
"74",1.12e+08,38745,"en",22.845143,237382724,85,"Released","Gulliver's Travels",4.9,621,"Comedy",NA,"Twentieth Century Fox Film Corporation","United States of America",2010,"12"
"75",1.2e+08,40805,"en",31.703608,227817248,119,"Released","The Green Hornet",5.5,1251,"Action","Crime","Original Film","United States of America",2011,"01"
"76",1.1e+08,41513,"en",36.65422,563749323,103,"Released","The Smurfs",5.5,1179,"Animation","Family","Columbia Pictures","United States of America",2011,"07"
"77",1.1e+08,13700,"en",19.625972,103951461,76,"Released","Home on the Range",5.7,389,"Animation","Family","Walt Disney Pictures","United States of America",2004,"04"
"78",1.05e+08,77931,"en",32.473628,347434178,105,"Released","The Smurfs 2",5.5,695,"Fantasy","Family","Columbia Pictures","United States of America",2013,"07"
"79",1.6e+08,1639,"en",23.336875,164508066,121,"Released","Speed 2: Cruise Control",4.1,434,"Action","Adventure","Twentieth Century Fox Film Corporation","United States of America",1997,"06"
"80",1.1e+08,10204,"en",22.643776,72178895,120,"Released","Around the World in 80 Days",5.7,672,"Action","Adventure","Studio Babelsberg","Germany",2004,"06"
"81",1.07e+08,8489,"en",18.866672,87713825,157,"Released","Ali",6.7,447,"Drama",NA,"Columbia Pictures Corporation","United States of America",2001,"12"
"82",136852477.123411,10588,"en",18.251129,NA,82,"Released","The Cat in the Hat",4.9,366,"Comedy","Fantasy","Imagine Entertainment","United States of America",2003,"11"
"83",1.3e+08,1495,"en",44.490453,211643158,144,"Released","Kingdom of Heaven",6.6,1157,"Drama","Action","Studio Babelsberg","Germany",2005,"05"
"84",1.33e+08,10137,"en",30.475297,300135367,84,"Released","Stuart Little",5.8,959,"Animation","Fantasy","Columbia Pictures Corporation","Germany",1999,"12"
"85",1.05e+08,10198,"en",62.479574,267045765,97,"Released","The Princess and the Frog",6.7,1247,"Romance","Family","Walt Disney Pictures","United States of America",2009,"12"
"86",9e+07,24113,"en",1.004579,10372291,104,"Released","Town & Country",3.7,16,"Comedy","Romance","New Line Cinema",NA,2001,"04"
"87",9e+07,9679,"en",52.995628,237202299,118,"Released","Gone in Sixty Seconds",6.1,1485,"Action","Crime","Jerry Bruckheimer Films","United States of America",2000,"06"
"88",1e+08,869,"en",51.188633,362211740,119,"Released","Planet of the Apes",5.6,1243,"Thriller","Science Fiction","Twentieth Century Fox Film Corporation","United States of America",2001,"07"
"89",8e+07,11322,"en",33.691694,214104620,140,"Released","Public Enemies",6.5,1344,"History","Crime","Universal Pictures","United States of America",2009,"07"
"90",1e+08,4982,"en",42.361215,266465037,157,"Released","American Gangster",7.4,1502,"Drama","Crime","Imagine Entertainment","United Kingdom",2007,"11"
"91",1.15e+08,36955,"en",38.729418,378882411,141,"Released","True Lies",6.8,1116,"Action","Thriller","Twentieth Century Fox Film Corporation","United States of America",1994,"07"
"92",1e+08,18487,"en",40.597856,150166126,106,"Released","The Taking of Pelham 1 2 3",6.2,954,"Thriller","Drama","Columbia Pictures","United States of America",2009,"06"
"93",1e+08,39451,"en",32.389353,310650585,98,"Released","Little Fockers",5.4,1060,"Comedy","Romance","Paramount Pictures","United States of America",2010,"12"
"94",1e+08,27581,"en",24.399642,170432927,107,"Released","The Other Guys",6.1,1383,"Action","Comedy","Columbia Pictures","United States of America",2010,"08"
"95",1e+08,9268,"en",24.507987,242295562,115,"Released","Eraser",5.6,543,"Action","Drama","Kopelson Entertainment","Canada",1996,"06"
"96",1e+08,10545,"en",46.727941,100138851,91,"Released","The Hunchback of Notre Dame",6.8,1129,"Drama","Animation","Walt Disney Pictures","United States of America",1996,"06"
"97",1e+08,11688,"en",51.113717,169327687,78,"Released","The Emperor's New Groove",7.2,1490,"Adventure","Animation","Walt Disney Pictures","United States of America",2000,"12"
"98",1e+08,2486,"en",30.863434,249288105,104,"Released","Eragon",4.9,967,"Fantasy","Action","Ingenious Film Partners","United Kingdom",2006,"12"
"99",1e+08,16523,"en",31.586215,100086793,101,"Released","Where the Wild Things Are",6.4,572,"Family","Fantasy","Village Roadshow Pictures","United States of America",2009,"10"
"100",1e+08,116711,"en",36.711378,268426634,102,"Released","Epic",6.4,1121,"Animation","Adventure","Blue Sky Studios","United States of America",2013,"05"
"101",1e+08,37710,"en",41.426678,278731369,103,"Released","The Tourist",6,1699,"Action","Thriller","Columbia Pictures","United Kingdom",2010,"12"
"102",1e+08,9946,"en",20.652943,211989043,121,"Released","End of Days",5.5,482,"Action","Fantasy","Beacon Communications","United States of America",1999,"11"
"103",1e+08,414,"en",48.205606,336529144,121,"Released","Batman Forever",5.2,1498,"Action","Crime","Warner Bros.","United Kingdom",1995,"05"
"104",1.05e+08,563,"en",58.782359,121214377,129,"Released","Starship Troopers",6.7,1560,"Adventure","Action","TriStar Pictures","United States of America",1997,"11"
"105",8e+07,41216,"en",37.321848,140073390,97,"Released","Legend of the Guardians: The Owls of Ga'Hoole",6.5,703,"Animation","Adventure","Village Roadshow Pictures","Australia",2010,"07"
"106",1e+08,314,"en",32.271938,82102379,104,"Released","Catwoman",4.2,808,"Action","Crime","Village Roadshow Pictures","United States of America",2004,"07"
"107",1.4e+08,9016,"en",38.924136,109578115,95,"Released","Treasure Planet",7.2,948,"Adventure","Animation","Walt Disney Pictures","United States of America",2002,"11"
"108",1e+08,18162,"en",19.38841,68688831,102,"Released","Land of the Lost",5.3,381,"Adventure","Comedy","Universal Pictures","United States of America",2009,"06"
"109",1.05e+08,257088,"en",33.507289,133718711,114,"Released","Point Break",5.5,783,"Action","Crime","Studio Babelsberg","Germany",2015,"12"
"110",8.4e+07,10214,"en",17.815595,NA,94,"Released","Son of the Mask",3.6,338,"Fantasy","Comedy","New Line Cinema","Germany",2005,"02"
"111",1e+08,205775,"en",50.767332,93820758,122,"Released","In the Heart of the Sea",6.5,1276,"Thriller","Drama","Imagine Entertainment","United States of America",2015,"11"
"112",1e+08,11692,"en",12.092241,7103973,95,"Released","The Adventures of Pluto Nash",4.4,142,"Action","Comedy","Village Roadshow Pictures","Australia",2002,"08"
"113",1e+08,22972,"en",30.254021,94882889,115,"Released","Green Zone",6.4,717,"War","Action","Universal Pictures","Spain",2010,"03"
"114",9.9e+07,227973,"en",34.308098,246233113,88,"Released","The Peanuts Movie",6.5,604,"Animation",NA,"Blue Sky Studios","United States of America",2015,"11"
"115",1e+07,29193,"en",3.091077,13835130,110,"Released","The Spanish Prisoner",7.1,73,"Crime","Drama","Jean Doumanian Productions","United States of America",1997,"09"
"116",9.4e+07,76758,"zh",12.516546,95311434,145,"Released","The Flowers of War",7.1,187,"Drama","History","Beijing New Picture Film Co. Ltd.","China",2011,"12"
"117",8.5e+07,9408,"en",23.230851,149044513,85,"Released","Surf's Up",5.9,601,"Animation","Comedy","Columbia Pictures","United States of America",2007,"06"
"118",9e+07,9890,"en",19.224754,1.02e+08,93,"Released","The Stepford Wives",5.4,334,"Action","Comedy","Paramount Pictures","United States of America",2004,"06"
